# x,y,Bx,By,Bz,Psi
712.127,1306.19,-0.0298381,0.00524991,0,0.802908
674.036,1301.46,-0.0298381,0.00524991,0,0.802908
931.274,1263.76,-0.029838,0.00524993,0,0.802908
400.511,1364.99,-0.0298382,0.00524987,0,0.802908
475.573,1327.12,-0.0298382,0.00524989,0,0.802908
514.462,1320.97,-0.0298382,0.00524989,0,0.802908
636.895,1301.47,-0.0298381,0.0052499,0,0.802908
846.212,1248.51,-0.029838,0.00524993,0,0.802908
794.399,1280.59,-0.0298381,0.00524992,0,0.802908
765.092,1280.79,-0.0298381,0.00524992,0,0.802908
920.28,1232.67,-0.029838,0.00524993,0,0.802908
963.074,1231.94,-0.0207697,0.00995971,0,0.799382
407.649,1315.6,-0.0298382,0.00524988,0,0.802908
448.753,1307.87,-0.0298382,0.00524988,0,0.802908
487.497,1296.03,-0.0298382,0.00524989,0,0.802908
565.046,1300.43,-0.0298381,0.0052499,0,0.802908
592.544,1267.34,-0.0298381,0.0052499,0,0.802908
860.336,1224.46,-0.029838,0.00524993,0,0.802908
784.378,1252.22,-0.029838,0.00524992,0,0.802908
810.209,1233.19,-0.029838,0.00524993,0,0.802908
733.645,1277.75,-0.0298381,0.00524992,0,0.802908
653.38,1269.38,-0.0298381,0.00524991,0,0.802908
704.798,1268.38,-0.0298381,0.00524991,0,0.802908
888.94,1222.31,-0.029838,0.00524993,0,0.802908
951.218,1193.41,-0.0207697,0.00995971,0,0.799382
366.654,1331.04,-0.0298382,0.00524987,0,0.802908
519.69,1276.16,-0.0298381,0.0052499,0,0.802908
832.334,1212.95,-0.029838,0.00524993,0,0.802908
754.042,1247.37,-0.0298381,0.00524992,0,0.802908
867.768,1185.18,-0.029838,0.00524993,0,0.802908
911.603,1200.86,-0.0207697,0.0099597,0,0.799382
994.875,1200.12,-0.0207697,0.00995971,0,0.799382
392.616,1273.45,-0.0298382,0.00524988,0,0.802908
332.797,1297.09,-0.0298382,0.00524987,0,0.802908
356.823,1277.44,-0.0298382,0.00524987,0,0.802908
425.755,1282.63,-0.0298382,0.00524988,0,0.802908
454.55,1269.52,-0.0298382,0.00524989,0,0.802908
489.299,1260.55,-0.0298381,0.00524989,0,0.802908
549.364,1248.77,-0.0298381,0.0052499,0,0.802908
632.758,1239.08,-0.0298381,0.00524991,0,0.802908
777.334,1221.83,-0.029838,0.00524993,0,0.802908
801.601,1201.53,-0.029838,0.00524993,0,0.802908
722.465,1239.51,-0.0298381,0.00524992,0,0.802908
679.106,1229.64,-0.0298381,0.00524992,0,0.802908
913.444,1164.35,-0.0207697,0.00995971,0,0.799382
987.323,1155.48,-0.0207697,0.00995972,0,0.799382
1026.68,1168.3,-0.0207697,0.00995972,0,0.799382
332.997,1256.47,-0.0298382,0.00524987,0,0.802908
511.833,1231.89,-0.0298381,0.0052499,0,0.802908
574.246,1235.57,-0.0298381,0.00524991,0,0.802908
600.331,1218.81,-0.0298381,0.00524991,0,0.802908
827.566,1183.46,-0.029838,0.00524993,0,0.802908
746.719,1210.96,-0.029838,0.00524992,0,0.802908
948.266,1153.21,-0.0207697,0.00995971,0,0.799382
1009.09,1118.92,-0.0207697,0.00995972,0,0.799382
425.208,1246.71,-0.0298382,0.00524989,0,0.802908
365.79,1233.94,-0.0298382,0.00524988,0,0.802908
464.896,1228.73,-0.0298381,0.00524989,0,0.802908
554.744,1207.36,-0.0298381,0.00524991,0,0.802908
644.396,1207.32,-0.0298381,0.00524992,0,0.802908
839.117,1154.05,-0.029838,0.00524994,0,0.802908
769.802,1185.47,-0.029838,0.00524993,0,0.802908
797.701,1165.43,-0.029838,0.00524993,0,0.802908
713.955,1206.01,-0.029838,0.00524992,0,0.802908
881.796,1143.38,-0.0207697,0.0099597,0,0.799382
1058.48,1136.48,-0.0207697,0.00995973,0,0.799382
923.297,1118.39,-0.0207697,0.00995971,0,0.799382
967.408,1126.39,-0.0207697,0.00995972,0,0.799382
400.07,1224.11,-0.0298382,0.00524989,0,0.802908
333.197,1215.85,-0.0298382,0.00524988,0,0.802908
489.266,1203.71,-0.0298381,0.0052499,0,0.802908
682.875,1182.59,-0.029838,0.00524992,0,0.802908
627.024,1172.14,-0.0298381,0.00524992,0,0.802908
737.936,1173.55,-0.029838,0.00524993,0,0.802908
848.055,1112.63,-0.0207697,0.0099597,0,0.799382
1045.72,1095.18,-0.0207697,0.00995973,0,0.799382
1090.28,1104.66,-0.0207697,0.00995974,0,0.799382
1073.9,1059.68,-0.0207697,0.00995974,0,0.799382
1122.08,1072.84,-0.0207697,0.00995974,0,0.799382
965.744,1089.44,-0.0207697,0.00995972,0,0.799382
1108.89,1031.34,-0.0207697,0.00995975,0,0.799382
1153.88,1041.02,-0.0207697,0.00995975,0,0.799382
425.391,1202.03,-0.0298382,0.00524989,0,0.802908
389.121,1195.15,-0.0298382,0.00524989,0,0.802908
356.481,1195.66,-0.0298382,0.00524988,0,0.802908
460.676,1189.49,-0.0298381,0.0052499,0,0.802908
517.338,1196.45,-0.0298381,0.0052499,0,0.802908
333.397,1175.24,-0.0298382,0.00524988,0,0.802908
582.641,1173.58,-0.0298381,0.00524992,0,0.802908
813.752,1134.87,-0.029838,0.00524994,0,0.802908
767.542,1143.68,-0.029838,0.00524994,0,0.802908
884.785,1109.11,-0.0207697,0.00995971,0,0.799382
1001.92,1082.86,-0.0207697,0.00995973,0,0.799382
1130.8,997.076,-0.0207697,0.00995975,0,0.799382
1162.35,984.519,-0.0207697,0.00995976,0,0.799382
1185.68,1009.2,-0.0207697,0.00995976,0,0.799382
491.587,1171.96,-0.0298381,0.0052499,0,0.802908
536.551,1150.93,-0.0298381,0.00524991,0,0.802908
369.409,1159.63,-0.0298382,0.00524989,0,0.802908
